text1,labels
APIs and strings in some  variants are RC4 encrypted. Another variant is encoded with XOR.,['T1027']
appears to have functionality to modify remote Registry information.,['T1112']
appends a file signature header (randomly selected from six file types) to encrypted data prior to upload or download.,['T1027']
"As part of the data reconnaissance phase,  grabs the system time to send back to the control server.",['T1124']
A system info module in  gathers information on the victim host’s configuration.,['T1082']
A  tool can encrypt payloads using XOR.  malware is also obfuscated using Metasploit’s shikata_ga_nai encoder as well as compressed with LZNT1 compression.,['T1027']
A  tool can read and decrypt stored Registry values.,['T1012']
A  tool can spawn svchost.exe and inject the payload into that process.,['T1055']
A  tool can use WMI to execute a binary.,['T1047']
attempted to contact the C2 server over TCP using port 80.,['T1043']
attempted to get users to click on an embedded macro within a Microsoft Office Excel document to launch their malware.,['T1204']
attempted to get users to click on Microsoft Excel attachments containing malicious macro scripts.,['T1204']
attempted to get users to launch malicious attachments delivered via spearphishing emails.,['T1204']
attempted to get users to launch malicious Microsoft Office attachments delivered via spearphishing emails.,['T1204']
"attempts to access the ADMIN$, C$\Windows, D$\Windows, and E$\Windows shares on the victim with its current privileges.",['T1083']
"attempts to avoid detection by checking a first stage command and control server to determine if it should connect to the second stage server, which performs ""louder"" interactions with the malware.",['T1104']
attempts to download an encrypted binary from a specified domain.,['T1105']
attempts to exploit privilege escalation vulnerabilities CVE-2010-0232 or CVE-2010-4398.,['T1068']
attempts to hide its payloads using legitimate filenames.,['T1036']
attempts to obtain legitimate credentials during operations.,['T1078']
A  uses a encrypted and compressed payload that is disguised as a bitmap within the resource section of the installer.,['T1027']
automatically collects files from the local system and removable drives based on a predefined list of file extensions on a regular timeframe.,['T1119']
automatically searches for files on local drives based on a predefined list of file extensions.,['T1083']
automatically searches for files on local drives based on a predefined list of file extensions and sends them to the command and control server every 60 minutes.  also automatically sends keylogger files and screenshots to the C2 server on a regular timeframe.,['T1020']
A  variant can force the compromised system to function as a proxy server.,['T1090']
A  variant downloads the backdoor payload via the BITS service.,['T1197']
A  variant encodes C2 POST data base64.,['T1132']
A  variant is encoded using a simple XOR cipher.,['T1027']
A variant of  attempts communication to the C2 server over HTTP on port 443.,['T1043']
A variant of  encrypts some C2 with 3DES and RSA.,['T1573']
A variant of  executes dir C:\progra~1 when initially run.,['T1083']
A  variant uses a C2 mechanism similar to port knocking that allows attackers to connect to a victim without leaving the connection open for more than a few sectonds.,['T1095']
A  variant uses fake TLS to communicate with the C2 server.,['T1095']
A  VBScript receives a batch script to execute a set of commands in a command prompt.,['T1119']
"A version of  loads as shellcode within a .NET Framework project using msbuild.exe, presumably to bypass application whitelisting techniques.",['T1127']
"avoids analysis by encrypting all strings, internal files, configuration data.",['T1027']
A Word document delivering  prompts the user to enable macro execution.,['T1204']
beacons to destination port 443.,['T1043']
"Before being appended to image files,  commands are encrypted with a key composed of both a hard-coded value and a string contained on that day's tweet. To decrypt the commands, an investigator would need access to the intended malware sample, the day's tweet, and the image file containing the command.",['T1573']
binds and listens on port 1058.,['T1571']
binds and listens on port 443.,['T1043']
C2 messages are Base64-encoded.,['T1132']
"C2 servers communicated with malware over TCP 8081, 8282, and 8083.",['T1571']
"C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo! messengers.",['T1001']
C2 traffic can communicate via TCP raw sockets.,['T1095']
"C2 traffic for most  tools occurs over Port Numbers 53, 80, and 443.",['T1043']
"C2 traffic from  is encrypted, then encoded with Base64 encoding.",['T1132']
C2 traffic has been encrypted with RC4 and AES.,['T1573']
C2 traffic is base64-encoded.,['T1132']
C2 traffic is encrypted using bitwise NOT and XOR operations.,['T1573']
calls cmd.exe to run various DLL files via rundll32 and also to perform file cleanup.  also has the capability to invoke a reverse shell.,['T1059']
can accept multiple URLs for C2 servers.,['T1008']
"can be configured to have commands relayed over a peer-to-peer network of infected hosts. This can be used to limit the number of egress points, or provide access to a host without direct internet access.",['T1090']
can be configured to use HTTP or DNS for command and control.,['T1071']
can be configured to use multiple network protocols to avoid network-based detection.,['T1026']
can be configured to use raw TCP or UDP for command and control.,['T1095']
can be used to copy files to a remotely connected system.,['T1105']
can be used to create  to upload and/or download files.,['T1105']
can be used to create  to upload files from a compromised host.,['T1048']
can be used to discover current NetBIOS sessions.,['T1049']
can be used to discover local NetBIOS domain names.,['T1016']
can be used to discover processes running on a system.,['T1057']
can be used to discover services running on a system.,['T1007']
can be used to display ARP configuration information on the host.,['T1016']
can be used to download files from a given URL.,['T1105']
can be used to dump credentials.,['T1003']
"can be used to enumerate local network connections, including active TCP connections and other network statistics.",['T1049']
can be used to find files and directories with native functionality such as dir commands.,['T1083']
can be used to find information about the operating system.,['T1082']
can be used to gather information about the operating system.,['T1082']
can be used to identify remote systems within a network.,['T1018']
"can be used to locate certain types of files/directories in a system.(ex: locate all files with a specific extension, name, and/or age)",['T1083']
can be used to set up a proxy tunnel to allow remote host access to an infected host.,['T1090']
can be used to subvert controls and possibly conceal command execution by not directly invoking .,['T1202']
can capture a screenshot from a victim.,['T1113']
can capture desktop screenshots in the PNG format and send them to the C2 server.,['T1113']
can capture screenshots.,['T1113']
can capture screenshots at a configurable interval.,['T1113']
"can capture screenshots of not only the entire screen, but of each separate window open, in case they are overlapping.",['T1113']
can capture screenshots of the victim’s machine.,['T1113']
can capture the victim's screen.,['T1113']
can collect CPU and architecture information from the victim’s machine.,['T1082']
can collect data from a local system.,['T1005']
can collect data from user directories.,['T1005']
"can collect operating system (OS) version information, processor information, system name, and information about installed disks from the victim.",['T1082']
can communicate over a reverse proxy using SOCKS5.,['T1090']
can communicate over FTP and send email over SMTP.,['T1071']
"can communicate over HTTP, SMTP, and POP3 for C2.",['T1071']
can communicate over HTTP for C2.,['T1071']
can communicate to its C2 over HTTP and HTTPS if directed.,['T1071']
can communicate to its C2 over TCP using a custom binary protocol.,['T1095']
can communicate using SOCKS.,['T1095']
can compress data with Zip before sending it over C2.,['T1560']
can conduct file browsing.,['T1083']
can create a directory (C:\ProgramData\Mail\MailAg\gl) to use as a temporary directory for uploading files.,['T1074']
"can create a new service named msamger (Microsoft Security Accounts Manager), which mimics the legitimate Microsoft database by the same name.",['T1036']
can create a remote shell and run a given command.,['T1059']
can create backdoor accounts with the login "HelpAssistant" with the Limbo module.,['T1136']
can delete all Registry entries created during its execution.,['T1112']
can discover and collect victim system information.,['T1082']
can download additional encrypted backdoors onto the victim via GIF files.,['T1105']
can download additional files.,['T1105']
can download additional files and payloads to compromised hosts.,['T1105']
can download additional files from URLs.,['T1105']
can download additional payloads onto the victim.,['T1105']
can download and execute additional files.,['T1105']
can download and execute an arbitary executable.,['T1105']
can download and execute files.,['T1105']
can download and launch additional payloads.,['T1105']
can download and upload files to and from the victim’s machine.,['T1105']
can download and upload files to the victim's machine.,['T1105']
can download an executable to run on the victim.,['T1105']
can download files from its C2 server to the victim's machine.,['T1105']
can download files from remote servers.,['T1105']
can download files from the C2 server to the victim’s machine.,['T1105']
can download files off the target system to send back to the server.,['T1005']
can download files onto the victim.,['T1105']
can download files remotely.,['T1105']
can download or upload files from its C2 server.,['T1105']
can download remote files.,['T1105']
can download remote files and additional payloads to the victim's machine.,['T1105']
can download remote files onto victims.,['T1105']
can drop a mouse-logger that will take small screenshots around at each click and then send back to the server.,['T1113']
can dump credentials.,['T1003']
can dump passwords and save them into \ProgramData\Mail\MailAg\pwds.txt.,['T1003']
can dump the SAM database.,['T1003']
can encrypt C2 traffic with AES.,['T1573']
can enumerate active windows.,['T1010']
can enumerate and search for files and directories.,['T1083']
can enumerate drives and Remote Desktop sessions.,['T1049']
can enumerate drives and their types. It can also change file permissions using cacls.exe.,['T1083']
can enumerate local information for Linux hosts and find currently logged on users for Windows hosts.,['T1033']
can enumerate processes.,['T1057']
can enumerate Registry keys.,['T1012']
"can enumerate Registry values, keys, and data.",['T1012']
can execute a task to download a file.,['T1105']
can execute commands from its C2 server.,['T1059']
can execute commands on the victim.,['T1059']
can execute commands on the victim's machine.,['T1059']
can execute commands on victims.,['T1059']
can execute commands using a shell.,['T1059']
can execute commands using cmd.exe.,['T1059']
can execute commands with script as well as execute JavaScript.,['T1064']
can execute ipconfig on the victim’s machine.,['T1016']
can execute shell commands using cmd.exe.,['T1059']
"can exfiltrate data via a DNS tunnel or email, separately from its C2 channel.",['T1048']
can exploit vulnerabilities such as MS14-058.,['T1068']
can extract cached password hashes from a system’s registry.,['T1003']
can function as a proxy to create a serve that relays communication between the client and C&C server.,['T1090']
can gather a list of processes.,['T1057']
can gather a process list from the victim.,['T1057']
can gather browser usernames and passwords.,['T1003']
can gather information about TCP connection state.,['T1049']
can gather information about the host.,['T1082']
"can gather information on the mapped drives, OS version, computer name, and memory size.",['T1082']
can gather information on the victim username.,['T1033']
can gather network share information.,['T1135']
can gather Registry values.,['T1012']
"can gather system information, the computer name, OS version, drive and serial information from the victim's machine.",['T1082']
can gather the disk volume information.,['T1082']
can gather the IP address from the victim's machine.,['T1016']
can gather the victim computer name and serial number.,['T1082']
can gather the victim user name.,['T1033']
can gather victim drive information.,['T1083']
can gather victim proxy information.,['T1016']
can get a list of the processes and running tasks on the system.,['T1057']
can identify logged in users across the domain and views user sessions.,['T1033']
"can identify system information, including battery status.",['T1082']
can inject a malicious DLL into a process.,['T1055']
can inject a variety of payloads into processes dynamically chosen by the adversary.,['T1055']
can install encrypted configuration data under the Registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\ShellCompatibility\Applications\laxhost.dll and HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\PrintConfigs.,['T1112']
can interact with a victim’s Outlook session and look through folders and emails.,['T1114']
can launch a remote shell to execute commands.,['T1059']
can launch cmd.exe to execute commands on the system.,['T1059']
can list all files on a system.,['T1083']
can list connected devices.,['T1120']
can list directories on a victim.,['T1083']
can list files and directories.,['T1083']
can list local and remote shared drives and folders over SMB.,['T1135']
can list running services.,['T1007']
can lists information about files in a directory.,['T1083']
can list the running processes and get the process ID and parent process’s ID.,['T1057']
can load a DLL using the LoadLibrary API.,['T1129']
can log keystrokes.,['T1056']
can manipulate Registry keys.,['T1112']
can migrate into another process using reflective DLL injection.,['T1055']
can obtain a list of active connections and open ports.,['T1049']
can obtain a list of running processes on the victim’s machine.,['T1057']
can obtain a list of SIDs and provide the option for selecting process tokens to impersonate.,['T1134']
can obtain a list of smart card readers attached to the victim.,['T1120']
can obtain a process list from the victim.,['T1057']
"can obtain information about network configuration, including the routing table, ARP cache, and DNS cache.",['T1016']
can obtain information about process integrity levels.,['T1057']
can obtain information about running processes on the victim.,['T1057']
can obtain information about the current user.,['T1033']
can obtain information about the logged on user both locally and for Remote Desktop sessions.,['T1033']
can obtain information about the victim's IP address.,['T1016']
"can obtain network information, including DNS, IP, and proxies.",['T1016']
can obtain running services on the victim.,['T1007']
can obtain screenshots from the victim.,['T1113']
"can obtain the computer name, OS version, and default language identifier.",['T1082']
can obtain the date and time of a system.,['T1124']
can open an interactive command-shell to perform command line functions on victim machines.,['T1059']
can overwrite Registry settings to reduce its visibility on the victim.,['T1070']
can perform DLL injection.,['T1055']
can perform DLL loading.,['T1055']
can perform keylogging.,['T1056']
can perform process injection by using a reflective DLL.,['T1055']
can perform screen captures of the victim’s machine.,['T1113']
can provide a remote shell.,['T1059']
can query for information contained within the Windows Registry.,['T1012']
can query service configuration information.,['T1007']
can receive and execute commands with cmd.exe. It can also provide a reverse shell.,['T1059']
can record audio using any existing hardware recording devices.,['T1123']
can record keystrokes from both the keyboard and virtual keyboard.,['T1056']
can record sound using input audio devices.,['T1123']
can record the sounds from microphones on a computer.,['T1123']
can recover hashed passwords.,['T1003']
can remotely activate the victim’s webcam to capture content.,['T1125']
can retrieve and execute additional  payloads from the C2 server.,['T1105']
can retrieve information about the Windows domain.,['T1016']
can retrieve IP and network adapter configuration information from compromised hosts.,['T1016']
can retrieve OS name/architecture and computer/domain name information from compromised hosts.,['T1082']
can retrieve the current content of the user clipboard.,['T1115']
can retrieve usernames from compromised hosts.,['T1087']
can run a copy of cmd.exe.,['T1059']
can run  to gather information about the victim.,['T1082']
can scan for open TCP ports on the target network.,['T1046']
can scan local network for open SMB.,['T1135']
can scan victim drives to look for specific banking software on the machine to determine next actions. It also looks at browsing history and open tabs for specific strings.,['T1083']
can search directories for files on the victim’s machine.,['T1083']
can set its "beacon" payload to reach out to the C2 server on an arbitrary and random interval. In addition it will break large data sets into smaller chunks for exfiltration.,['T1029']
can sleep for a specific time and be set to communicate at specific intervals.,['T1029']
can spawn remote shells.,['T1059']
can start SOCKS proxy threads.,['T1090']
can steal access tokens from exiting processes and make tokens from known credentials.,['T1134']
can steal clipboard contents.,['T1115']
can switch to a new C2 channel if the current one is broken.,['T1008']
can take a desktop screenshot and save the file into \ProgramData\Mail\MailAg\shot.png.,['T1113']
can take regular screenshots when certain applications are open that are sent to the command and control server.,['T1113']
can take screenshots.,['T1113']
"can take screenshots of the desktop and target application windows, saving them to user directories as one byte XOR encrypted .dat files.",['T1113']
can track key presses with a keylogger module.,['T1056']
"can uninstall malware components using a batch script. Additionally, a malicious Word document used for delivery uses VBA macros for execution.",['T1064']
"can upload, download, and execute files on the victim.",['T1105']
can upload and download files.,['T1105']
can upload and download files to the victim.,['T1105']
can upload and download to/from a victim machine.,['T1105']
can upload files from compromised hosts.,['T1005']
can upload files to the victim's machine for operations.,['T1105']
can upload files to the victim’s machine and can download additional payloads.,['T1105']
can use HTTP and DNS for C2 communications.,['T1071']
can use HTTP for C2.,['T1071']
can use HTTP or DNS for C2.,['T1071']
can use HTTP or HTTPS for command and control to hard-coded C2 servers.,['T1071']
can use HTTP or SMTP for C2.,['T1071']
can use known credentials to run commands and spawn processes as another user.,['T1078']
can use MS10-061 to exploit a print spooler vulnerability in a remote system with a shared printer in order to move laterally.,['T1210']
"can use Obfs3, a pluggable transport, to add another layer of encryption and obfuscate TLS.",['T1573']
can use port 995 for C2.,['T1571']
can use PowerSploit or other scripting frameworks to perform execution.,['T1064']
can user PowerView to perform “net user” commands and create local system and domain accounts.,['T1136']
can use SSL and TLS for communications.,['T1573']
can use tasklist to collect a list of running tasks.,['T1057']
can use the Windows API function CreateProcess to execute another process.,['T1106']
can use WMI queries to gather system information.,['T1047']
can use WMI queries to retrieve data from compromised hosts.,['T1047']
can use WMI to execute commands.,['T1047']
captured screenshots and desktop video recordings.,['T1113']
captured screenshots and sent them out to a C2 server.,['T1113']
"captures and DES-encrypts credentials before writing the username and password to a log file, C:\log.txt.",['T1056']
captures hashes and credentials that are sent to the system after the name services have been poisoned.,['T1040']
captures keystrokes and sends them back to the C2 server.,['T1056']
captures screenshots based on specific keywords in the window’s title.,['T1113']
captures screenshots of the infected system.,['T1113']
captures screenshots of the victim’s screen.,['T1113']
captures the content of the desktop with the screencapture binary.,['T1113']
"checks for new hard drives on the victim, such as USB devices, by listening for the WM_DEVICECHANGE window message.",['T1120']
checks if a value exists within a Registry key in the HKCU hive whose name is the same as the scheduled task it has created.,['T1012']
checks if the victim OS is 32 or 64-bit.,['T1082']
checks its parent process for indications that it is running in a sandbox setup.,['T1057']
checks the Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings for proxy configurations information.,['T1012']
checks the running processes for evidence it may be running in a sandbox environment. It specifically enumerates processes for Wireshark and Sysinternals.,['T1057']
"cleared Windows event logs and other logs produced by tools they used, including system, security, terminal services, remote services, and audit logs. The actors also deleted specific Registry keys.",['T1070']
clears event logs.,['T1070']
clears the system event logs.,['T1070']
code may be obfuscated through structured exception handling and return-oriented programming.,['T1027']
collected complete contents of the 'Pictures' folder from compromised Windows systems.,['T1005']
collected data from local victim systems.,['T1005']
collected file listings of all default Windows directories.,['T1083']
collected system architecture information.  used an HTTP malware variant and a Port 22 malware variant to gather the hostname and CPU information from the victim’s machine.,['T1082']
"collected the victim computer name, OS version, and architecture type and sent the information to its C2 server.  also enumerated all available drives on the victim's machine.",['T1082']
"collected the victim username and whether it was running as admin, then sent the information to its C2 server.",['T1033']
"collects, compresses, encrypts, and exfiltrates data to the C2 server every 10 minutes.",['T1029']
collects a list of active and listening connections by using the command netstat -nao as well as a list of available network mappings with net use.,['T1049']
collects a list of files and directories in C:\ with the command dir /s /a c:\ >> "C:\windows\TEMP\[RANDOM].tmp".,['T1083']
collects a list of install programs and services on the system’s machine.,['T1007']
collects a list of network shares with the command net share.,['T1135']
collects a list of running services with the command tasklist /svc.,['T1007']
collects a unique identifier (UID) from a compromised host.,['T1082']
collects data from the clipboard.,['T1115']
collects data from the local victim system.,['T1005']
collects data stored in the clipboard.,['T1115']
collects endpoint information using the systeminfo command.,['T1082']
"collects files with the following extensions: .ppt, .pptx, .pdf, .doc, .docx, .xls, .xlsx, .docm, .rtf, .inp, .xlsm, .csv, .odt, .pps, .vcf and sends them back to the C2 server.",['T1005']
collects general system enumeration data about the infected machine and checks the OS version.,['T1082']
collects hard drive content and system configuration information.,['T1082']
"collects information about available drives, default browser, desktop file list, My Documents, Internet history, program files, and root of available drives. It also searches for ICS-related software files.",['T1083']
collects information about running processes.,['T1057']
collects information about running processes from victims.,['T1057']
collects information about the OS and computer name.,['T1082']
"collects information from the victim, including installed drivers, programs previously executed by users, programs and services configured to automatically run at startup, files and folders present in any user's home folder, files and folders present in any user's My Documents, programs installed to the Program Files folder, and recently accessed files, folders, and programs.",['T1083']
collects information on network settings and Internet proxy settings from the victim.,['T1016']
collects information on running processes and environment variables from the victim.,['T1057']
collects its process identifier (PID) on the victim.,['T1057']
collects keystrokes from the victim machine.,['T1056']
collects keystrokes from the victim’s machine.,['T1056']
collects local files and information from the victim’s local machine.,['T1005']
collects MAC address and local IP address information from the victim.,['T1016']
"collects network adapter and interface information by using the commands ipconfig /all, arp -a and route print. It also collects the system's MAC address with getmac and domain configuration with net config workstation.",['T1016']
"collects OS version information such as registered owner details, manufacturer details, processor type, available storage, installed patches, hostname, version info, system date, and other system information by using the commands systeminfo, net config workstation, hostname, ver, set, and date /t.",['T1082']
collects password policy information with the command net accounts.,['T1201']
"collects system information from the victim, including CPU speed, computer name, volume serial number, ANSI code page, OEM code page identifier for the OS, Microsoft Windows version, and memory information.",['T1082']
collects the account name of the logged-in user and sends it to the C2.,['T1033']
"collects the computer name, OS versioning information, and OS install date and sends the information to the C2.",['T1082']
"collects the computer name, the BIOS model, and execution path.",['T1082']
collects the computer name and host name on the compromised system.,['T1082']
collects the computer name and serial number for the storage volume C:\.,['T1082']
collects the current username and sends it to the C2 server.,['T1033']
collects the current username from the victim.,['T1033']
collects the domain name from a compromised host.,['T1016']
collects the endpoint victim's username and uses it as a basis for downloading additional components from the C2 server.,['T1033']
collects the group name of the logged-in user and sends it to the C2.,['T1069']
collects the hostname of the victim machine.,['T1082']
collects the local IP address of the victim and sends it to the C2.,['T1016']
"collects the MAC address, computer name, and CPU information.",['T1082']
"collects the network adapter’s IP and MAC address as well as IP addresses of the network adapter’s default gateway, primary/secondary WINS, DHCP, and DNS servers, and saves them into a log file.",['T1016']
"collects the OS name, machine name, and architecture information.",['T1082']
"collects the OS version, country name, MAC address, computer name, physical memory statistics, and volume information for all drives on the system.",['T1082']
collects the OS version and computer name.,['T1082']
"collects the system information, including hostname and OS version, and sends it to the C2 server.",['T1082']
"collects the system name, OS version including service pack, and system install date and sends the information to the C2 server.",['T1082']
collects the username from the victim’s machine.,['T1033']
collects the users of the system.,['T1087']
collects the victim's IP address.,['T1016']
collects the victim's username.,['T1033']
"collects the victim IP address, MAC address, as well as the victim account domain name.",['T1016']
collects the victim LAN IP address and sends it to the C2 server.,['T1016']
"collects the victim’s computer name, processor architecture, OS version, and volume serial number.",['T1082']
collects the victim’s username and whether that user is an admin.,['T1033']
"collects the volumes mapped on the system, and also steals files with the following extensions: .docx, .doc, .pptx, .ppt, .xlsx, .xls, .rtf, and .pdf.",['T1083']
collects user files from the compromised host based on predefined file extensions.,['T1005']
"collects various information via WMI requests, including CPU information in the Win32_Processor entry (Processor ID, Name, Manufacturer and the clock speed).",['T1047']
Commands such as net group and net localgroup can be used in  to gather information about and manipulate groups.,['T1069']
Commands such as net view can be used in  to gather information about available remote systems.,['T1018']
Commands under net user can be used in  to gather information about and manipulate user accounts.,['T1087']
"communicates over common ports such as TCP 80, 443, and 25.",['T1043']
communicates over HTTP for C2.,['T1071']
communicates over HTTP or HTTPS for C2.,['T1071']
"communicates over ports 80, 443, 53, and 8080 via raw sockets instead of the protocols usually associated with the ports.",['T1043']
communicates to its C2 server over HTTP.,['T1071']
communicates to its C2 server over HTTP and embeds data within the Cookie HTTP header.,['T1071']
communicates to the C2 server by retrieving a Google Doc.,['T1102']
communicates using HTTPS and uses a custom encryption cipher to encrypt the HTTPS message body.,['T1573']
communicates via DNS for C2.,['T1071']
communicates via ICMP for C2.,['T1095']
communicates with its C2 server over HTTP.,['T1071']
communicates with its C2 server over HTTPS.,['T1071']
communicates with its C2 server over TCP port 3728.,['T1571']
communicates with its C2 servers over HTTP.,['T1071']
communicates with its C2 servers through a TCP socket.,['T1095']
completes network communication via raw sockets.,['T1095']
compressed data with zlib prior to sending it over C2.,['T1560']
compresses collected files with both the GZipStream class and a simple character replacement scheme before sending them to its C2 server.,['T1560']
compresses output data generated by command execution with a custom implementation of the Lempel–Ziv–Welch (LZW) algorithm.,['T1560']
compromised legitimate organizations' websites to create watering holes to compromise victims.,['T1189']
compromised McAfee ePO to move laterally by distributing malware as a software deployment task.,['T1072']
compromised three Japanese websites using a Flash exploit to perform watering hole attacks.,['T1189']
compromised user credentials and used valid accounts for operations.,['T1078']
concatenates then decompresses multiple resources to load an embedded .Net Framework assembly.,['T1140']
conducts brute force attacks against SSH services to gain initial access.,['T1110']
"conducts credential dumping on victims, with a focus on obtaining credentials belonging to domain and database servers.",['T1003']
connects over 443 for C2.,['T1043']
connects to a predefined domain on port 443 to exfil gathered information.,['T1048']
